#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,domain,entity_id,friendly_name,source,unit_of_measurement,version
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:34:00Z,45.3,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:35:00Z,45.1,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:36:00Z,44.95,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:37:00Z,44.75,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:38:00Z,44.699999999999996,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:39:00Z,44.5,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:40:00Z,44.4,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:41:00Z,44.25,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:42:00Z,44.1,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:43:00Z,44,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:44:00Z,43.9,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:45:00Z,43.8,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:46:00Z,43.7,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:48:00Z,43.63333333333333,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:49:00Z,43.5,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:50:00Z,43.4,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:52:00Z,43.3,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:53:00Z,43.5,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:54:00Z,43.25000000000001,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:55:00Z,42.18333333333334,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:56:00Z,41.75,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:59:00Z,41.8,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T09:00:00Z,41.9,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,42,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253

