Index ID,Unique ID,Entity ID,Entity Filter,Entity Type,Entity Name,Entity Friendly Name,Entity Domain,Entity Group,Entity Location,Entity Topic
9999999,anode__day__rain__water__home,day_rain,Hidden,Continuous,Day Rain,Day,Rain,Water,Home,haas/sensor/config/sensor/anode/anode__day__rain__water__home/config
9999999,anode__year__rain__water__home,year_rain,Hidden,Continuous,Year Rain,Year,Rain,Water,Home,haas/sensor/config/sensor/anode/anode__year__rain__water__home/config
9999999,anode__probability_Dforecast__rain__water__home,probability_forecast_rain,Hidden,Continuous,Probability Forecast Rain,Probability Forecast,Rain,Water,Home,haas/sensor/config/sensor/anode/anode__probability_Dforecast__rain__water__home/config
9999999,anode__month__rain__water__home,month_rain,Hidden,Continuous,Month Rain,Month,Rain,Water,Home,haas/sensor/config/sensor/anode/anode__month__rain__water__home/config
9999999,anode__rate_Dforecast__rain__water__home,rate_forecast_rain,Hidden,Continuous,Rate Forecast Rain,Rate Forecast,Rain,Water,Home,haas/sensor/config/sensor/anode/anode__rate_Dforecast__rain__water__home/config
9999999,anode__day_Dforecast__rain__water__home,day_forecast_rain,Hidden,Continuous,Day Forecast Rain,Day Forecast,Rain,Water,Home,haas/sensor/config/sensor/anode/anode__day_Dforecast__rain__water__home/config
9999999,anode__rate_Dmax_Dtime_Dforecast__rain__water__home,rate_max_time_forecast_rain,Hidden,Continuous,Rate Max Time Forecast Rain,Rate Max Time Forecast,Rain,Water,Home,haas/sensor/config/sensor/anode/anode__rate_Dmax_Dtime_Dforecast__rain__water__home/config
9999999,anode__rise__sun__season__home,rise_sun,Hidden,Continuous,Rise Sun,Rise,Sun,Season,Home,haas/sensor/config/sensor/anode/anode__rise__sun__season__home/config
9999999,anode__set__sun__season__home,set_sun,Hidden,Continuous,Set Sun,Set,Sun,Season,Home,haas/sensor/config/sensor/anode/anode__set__sun__season__home/config
9999999,anode__altitude__sun__season__home,altitude_sun,Hidden,Continuous,Altitude Sun,Altitude,Sun,Season,Home,haas/sensor/config/sensor/anode/anode__altitude__sun__season__home/config
9999999,anode__azimuth__sun__season__home,azimuth_sun,Hidden,Continuous,Azimuth Sun,Azimuth,Sun,Season,Home,haas/sensor/config/sensor/anode/anode__azimuth__sun__season__home/config
9999999,anode__forecast__temperature__conditions__home,forecast_temperature,Hidden,Continuous,Forecast Temperature,Forecast,Temperature,Conditions,Home,haas/sensor/config/sensor/anode/anode__forecast__temperature__conditions__home/config
9999999,anode__utility__temperature__conditions__utility,utility_temperature,Hidden,Continuous,Utility Temperature,Utility,Temperature,Conditions,Utility,haas/sensor/config/sensor/anode/anode__utility__temperature__conditions__utility/config
9999999,anode__speed_Dforecast__wind__conditions__home,speed_forecast_wind,Hidden,Continuous,Speed Forecast Wind,Speed Forecast,Wind,Conditions,Home,haas/sensor/config/sensor/anode/anode__speed_Dforecast__wind__conditions__home/config
